"PROD_DTL_ID","COMMON_PRODUCT_NUM","PROD_DTL_NAME"
924,"900849","BREAD UNKNOWN"
927,"900852","BREAD UNKNOWN"
929,"900854","BREAD UNKNOWN"
932,"900857","BREAD UNKNOWN"
933,"900858","BREAD UNKNOWN"
935,"900860","BREAD UNKNOWN"
938,"900863","BREAD UNKNOWN"
941,"900866","BR FR SIX INCHES"
943,"900868","BREAD UNKNOWN"
944,"900869","BREAD UNKNOWN"
948,"900873","BREAD UNKNOWN"
950,"900875","OR BUT"
955,"900880","CNTRY OAT LIT"
956,"900881","BREAD UNKNOWN"
959,"900884","LITE SR ROLL"
960,"900885","BREAD UNKNOWN"
961,"900886","BREAD UNKNOWN"
966,"900891","BREAD UNKNOWN"
967,"900892","SESSAME HOTDOG"
970,"900895","STUB WHIT"
972,"900897","BREAD UNKNOWN"
973,"900898","SAND WHIT"
976,"900901","OC GRAIN"
980,"900905","BREAD UNKNOWN"
981,"900906","BREAD UNKNOWN"
983,"900908","BREAD UNKNOWN"
986,"900911","SL DNR ROLL"
987,"900912","SWEET BAGUET"
989,"900914","SOUR BUFFET"
992,"900917","CAL CR HB LP"
995,"900920","LITE WHEAT SL"
996,"900921","BREAD UNKNOWN"
997,"900922","SR BUF BS"
999,"900924","ONION PANINI"
1000,"900925","POPPY PANINI"
1001,"900926","RYE PANINI"
1003,"900928","WHE BAG OTWB"
1004,"900929","WHE BAG OTWB"
1005,"900930","SWT STK ROL"
1006,"900931","SOUR ST ROLL"
1007,"900932","WHEAT TORP"
1008,"900933","POP BRD ST"
1009,"900934","EGG TW DR SL"
1010,"900935","WB RYE BREAD"
1012,"900937","WW HERB OAT"
1013,"900938","SR TORP BS"
1014,"900939","BREAD UNKNOWN"
1015,"900940","BREAD UNKNOWN"
1016,"900941","DK RY ROLLS"
1017,"900942","DK RY ROLLS"
1018,"900943","BREAD UNKNOWN"
1019,"900944","BUFFET RYE"
1021,"900946","UNKNOWN BREAD"
1022,"900947","BREAD UNKNOWN"
1023,"900948","ONION ROLL"
1024,"900949","BREAD UNKNOWN"
1025,"900950","CAL CR THREE FT"
1299,"901202","FRENCH"
1300,"005988","SHURFINE ITALIAN"
1301,"901203","SHURFINE SAND 12"
1305,"005906","SHURFINE KING SQ"
1306,"006476","SHURFINE ENG MUFFIN"
1307,"002445","SHURFINE RYE"
1310,"901207","SCUDDER JALAPENO"
1311,"901208","SCUDDER SALT&PEPPER"
1312,"901209","SCUDDER MAUI ONION"
1313,"901210","SCUDDER CHILI LIMON"
1316,"901213","REDNERS POTATO BREA"
1317,"901214","HB SOUR BOLLA"
1318,"901215","HB SRKWHE BOLLA"
1319,"901216","HB B&S SOUR ROLL"
1323,"901220","HB LONG FRENCH"
1324,"901221","HB FRENCH ROLL"
1326,"901223","WATER"
1328,"901225","FIESTA MIX"
1329,"901226","FIESTA MIX PRTZL"
1330,"000256","A&S CLUB WHITE 30SL"
1331,"901227","A&S TEXAS TOAST"
1332,"002167","A&S CLUB WHEAT 30SL"
1333,"901228","A&S IND SAND SD 12"
1334,"901229","A&S IND SAND SD 12"
1335,"901230","A&S IND HOT DOG 12"
1337,"901232","TEIX CLUB WHEAT 30SL"
1338,"901233","TEIX IND SAND HB 12"
1339,"901234","TEIX HAM SEED 12"
1340,"901235","TEIX IND HOT DOG 12"
1341,"901236","NBSCO CROUTONS 10#"
1342,"901237","FIG BAR FF"
1344,"901239","PEACHAPR BAR FF"
1346,"901241","SC&O TATO SKINS"
1347,"901242","CH&BACON TATO SKINS"
1349,"901244","TASTY CAKE"
1350,"901245","TASTY CAKE"
1352,"901247","WEST BEEF H.D. 12"
1353,"901248","WEST BEEF S/TOP WHEA"
1355,"901250","W.BEEF WHITE 3 PAK"
1357,"901252","W.BEEF VIENNA"
1358,"901253","W.BEEF RAISIN"
1359,"901254","WEST BEEF SAND 8"
1361,"901256","KRFT PHIL CRM CHEESE"
1362,"901257","ST & SH LT ITALIAN"
1365,"901260","ST & SH BIG DAISY 3P"
1366,"901261","ST & SH OLD FASH POT"
1367,"901262","ST & SH HOT DOG 8"
1369,"901264","ST & SH VIENNA"
1370,"901265","ST & SH HAM 12"
1371,"901266","ST & SH OATMEAL"
1374,"901269","ST & SH BIG LOAF SAN"
1375,"901270","ST & SH S/TOP WHEAT"
1379,"901274","SFWY SL 6 IN TWO PK"
1380,"901275","SFWY ENG MUFF 6 CINN"
1381,"000362","SIG PLN EM 6P 12Z"
1385,"901278","KR VARIETY BAGEL 2 P"
1387,"901280","KR MISH BAGEL (2)"
1389,"901282","KR MISH BAGEL (2)"
1391,"901284","KR CINN BAGEL (1)"
1394,"901287","KR CINN RAI BAGEL  1"
1396,"901289","KR CIN RAI BAGEL (1)"
1397,"901290","KR BLUE BAGEL (1)"
1401,"901294","KR PLAIN BAGEL (2)"
1403,"901296","KR MULTI BAGEL (2)"
1408,"901301","KR ONION BAGEL (2)"
1409,"901302","SENS VARIETY BAGEL6"
1410,"901303","KR CRAN BAGEL (1)"
1415,"901308","HON ROASTED PEANUTS"
1416,"901309","SPANISH NUTS"
1417,"901310","NACHO BUNGLES"
1421,"901314","TAP-12""FL TOR 12CT"
1422,"901315","TAP-SABROSA TRIPLE"
1427,"901320","HARVEST RITZ"
1428,"901321","HARVEST SALTINES"
1429,"901322","GINGER SNAPS"
1430,"004341","ASSOC SAND 8P 11Z"
1433,"901324","CHEEZIT SOUR CREAM"
1434,"901325","CHEEZIT DOUBLE PARTY"
1436,"901327","CHEEZIT HOT&SPICY"
1439,"901330","CHEEZIT"
1441,"901332","KRISPY SALTINES"
1442,"901333","KRISPY UNSALTED"
1444,"901335","CHEEZIT CHILE CHEESE"
1445,"901336","CHEEZIT CHEDDAR JACK"
1446,"901337","CHEEZIT PARM&GARLIC"
1449,"901340","CHEEZIT CHEDDAR&MORE"
1450,"007865","BIMBO 24 OZ WHITE"
1451,"901341","ROCK IND SAND 12 21O"
1452,"901342","MINUTE MAID JUICE"
1456,"901346","BAVARIAN PRETZEL"
1457,"901347","BAVARIAN PRETZEL"
